# M94 MPL doc-claims ledger (cairn/LESSONS.md M71 rule made mechanical on the
# roxygen surface). One row per universal/negative/numeric claim candidate that
# `python3 data-raw/check-mpl-doc-claims.py` enumerates in the doc scope
# (the `@param conf_level` + `@param ci_method` blocks of R/icc.R, the M94
# NEWS.md entry, and — since M106 — the interval-methods vignette's MPL
# subsection). Columns: key, file, disposition, quote, assertion, reason.
#   key         sha1[:12] of "file\tnormalized claim sentence" (recomputed by
#               the enumerator; a changed sentence must be re-triaged).
#   disposition settle  — the assertion column is evaluated against
#                         data-raw/m92-interp-sweep.rds; nonzero exit on falsity.
#               out     — not settleable by the M92 fixture; reason says why and
#                         where it IS settled.
#               absent  — the quote is a REGEX that must match nowhere in the
#                         doc scope (AC6 refusal rows); assertion empty.
#   quote       verbatim substring of the claim sentence (whitespace-normalized)
#               that must appear in the doc scope (settle/out), or the forbidden
#               regex (absent).
#   assertion   a Python expression over the parsed fixture: `cell(id, col)`,
#               `col(name)` (list over E1,E2,E3), `verdict` (the 0.95 verdict
#               dict), `meta`. True = claim holds.
# Rows below are seeded from the fixture enumeration (M94 T1); the enumerator's
# cross-check requires every candidate to carry a row and every settle/absent
# row to bind (quote found / regex absent).
key	file	disposition	quote	assertion	reason
a6f8e9dbe094	R/icc.R	settle	validated -- not calibrated -- by coverage probes at a handful of off-node geometries	len(col('id')) == 3 and all(r == 'interp' for r in col('role')) and all(c == 0.95 for c in col('conf')) and all(s not in (10, 15, 20, 30, 50, 100) for s in col('n_s'))	three cells, all off-node interpolation probes at 0.95; the 0.90/0.99 legs of "each supported level" are M91's (data-raw/m91-interp-sweep.rds), out of M94 scope per plan
e7e2b2b8872c	R/icc.R	settle	each clears the pre-registered 0.93 floor	all(col('adequate')) and all(f == 0.93 for f in col('floor')) and verdict['all_adequate'] and len(verdict['failed_cells']) == 0	floor-clearing is the validated property
479ee00d89c2	R/icc.R	settle	one validated cell measured 0.944	abs(min(col('coverage')) - 0.944) < 5e-4 and 0.93 <= min(col('coverage')) < 0.95	floor is a tolerance, not at-or-above-nominal; also reds on the collided fixture (run-1 min 0.953)
e7e2b2b8872c	R/icc.R	settle	only the rater and subject counts vary	len(set(col('delta'))) == 1 and 4.0 in set(col('delta')) and len(set(col('rho'))) == 1 and 0.6 in set(col('rho')) and len(set(col('conf'))) == 1 and len(set(zip(col('n_r'), col('n_s')))) == 3	single stress configuration (delta 4, rho 0.60); cell-count leg on the same sentence is settled by the a6f8e9dbe094 row's len == 3
7d2ac2a04494	R/icc.R	settle	no validated cell pinned an endpoint at 0 or 1	all(p == 0 for p in col('p_lower0')) and all(p == 0 for p in col('p_upper1')) and all(v == 0 for v in col('vacuous'))	universal negative over the three cells
f80587033837	R/icc.R	settle	31/2 and 42/14	cell('E1', 'miss_below') == 31 and cell('E1', 'miss_above') == 2 and cell('E2', 'miss_below') == 42 and cell('E2', 'miss_above') == 14 and cell('E1', 'miss_below') > cell('E1', 'miss_above') and cell('E2', 'miss_below') > cell('E2', 'miss_above')	below-dominant misses in the two multi-rater cells; reds on the collided fixture
f80587033837	R/icc.R	settle	the 2-rater cell missed only once, above	cell('E3', 'n_r') == 2 and cell('E3', 'miss_below') == 0 and cell('E3', 'miss_above') == 1	universal-negative about E3; reds on the collided fixture (run-1 E3 has zero misses)
f80587033837	R/icc.R	settle	not uniform across rater counts	cell('E2', 'n_s') == cell('E3', 'n_s') and cell('E2', 'delta') == cell('E3', 'delta') and cell('E2', 'rho') == cell('E3', 'rho') and cell('E2', 'conf') == cell('E3', 'conf') and cell('E2', 'n_r') == 10 and cell('E3', 'n_r') == 2 and (cell('E2', 'miss_below') > cell('E2', 'miss_above')) != (cell('E3', 'miss_below') > cell('E3', 'miss_above'))	AC6: the across-raters wording rests on the E2/E3 single-factor pair (n_r 10 vs 2, all else equal), which the fixture contains
-	R/icc.R	absent	nothing\s+(?:\w+\s+){0,3}isolates(?:\s+\w+){0,3}\s+rater|no\s+(?:pair|cell)s?\s+(?:\w+\s+){0,3}isolat\w*\s+(?:the\s+)?rater		AC6: the claim M92's review found false (P3-1) is refused outright; E2 vs E3 isolates the rater axis
-	NEWS.md	absent	nothing\s+(?:\w+\s+){0,3}isolates(?:\s+\w+){0,3}\s+rater|no\s+(?:pair|cell)s?\s+(?:\w+\s+){0,3}isolat\w*\s+(?:the\s+)?rater		AC6 refusal, NEWS surface
a214321525ac	R/icc.R	settle	the between-node subject-count interpolation is coverage-checked	verdict['interp_ok'] and verdict['level'] == '0.95' and len(verdict['interp_cells']) == 3	0.95 leg settled here; the 0.90/0.99 legs are M91's fixture, out of M94 scope per plan
b4fbd95986f0	R/icc.R	out	calibrated at subject-count nodes (10, 15, 20, 30, 50, and 100 subjects		node grid and linear rule are facts of the shipped kappa_m table (data-raw/m88-kappa-table.rds) and mpl_kappa_lookup, not claims about the M92 cells; test-ci-mpl.R pins only spot values and the 25/40 non-node property today — the whole-table pin is M95 (planned)
07b3efe6bfea	R/icc.R	settle	an off-node subject count is safe to use at every supported level	verdict['interp_ok'] and all(col('adequate'))	0.95 leg settled here; 0.90/0.99 legs are M91's; the must-not-be-carried clause is guidance, not a fixture claim
87f0dfc36b75	NEWS.md	settle	each clearing its pre-registered coverage floor	all(col('adequate')) and verdict['all_adequate'] and len(col('id')) == 3	NEWS restatement of the floor-clearing claim, incl. the three-cells count
f00273a96e77	NEWS.md	settle	what that validation does not establish	all(r == 'interp' for r in col('role')) and (cell('E2', 'miss_below') > cell('E2', 'miss_above')) != (cell('E3', 'miss_below') > cell('E3', 'miss_above'))	NEWS restatement of validated-not-calibrated + non-uniform asymmetry direction
c6eb48429ddb	NEWS.md	out	settled mechanically, in CI		self-referential: enforced by this script's own two-way cross-check, its --self-test, and the CI wiring in .github/workflows/lint.yaml
b41deb261c52	R/icc.R	out	the error names an opt-in method below that fits the design in hand		pre-M94 boundary-hint claim (M93, reworded M97: npbootstrap now nameable on unbalanced one-way), settled by the M93/M97 hint tests, not about the M92 cells
8f56da2702ff	R/icc.R	out	On unbalanced one-way data it can name "npbootstrap"		M97 boundary-hint claim (seed/boot_samples reproduction contract), settled by the M97 hint tests (AC3/AC4), not about the M92 cells
074c3c56971e	R/icc.R	out	it falls silent wherever a method would not in fact deliver		pre-M94 boundary-hint claim (M93), settled by the M93 hint tests; re-keyed M105 after "including a missing score" was struck from the sentence — icc() now drops NA-scored rows, so the hint no longer falls silent there (D-022)
c47de06ef61e	R/icc.R	out	The bootstrap does not rely on the asymptotic-normal covariance approximation		pre-M94 parametric-bootstrap description, not about the M92 cells
c758cbdd0ac4	R/icc.R	out	It is available for every design the "glmmTMB" and "lme4" engines fit		pre-M94 engine-availability claim, exercised by the engine test suites
b416fc8bdfe6	R/icc.R	out	available only with, engine = "brms"		pre-M94 posterior-method claim, settled by the brms dispatch tests
aba904dd03af	R/icc.R	out	Only a numeric unit (a D-study projection to m raters) is restricted to balanced data		pre-M94 npbootstrap claim (M84), settled by its dispatch tests
6d5fa251db50	R/icc.R	out	It resamples whole subjects with replacement		pre-M94 npbootstrap method description (Ukoumunne et al. 2003)
a6854796dc17	R/icc.R	out	It is not a percentile bootstrap		pre-M94 npbootstrap claim (D-006 assessment), not about the M92 cells
dd465dc0313c	R/icc.R	out	also only for the balanced one-way random design		pre-M94 classical closed-form fence (D-013), settled by dispatch tests
2586410d17be	R/icc.R	out	Both return a finite interval at the near-zero-ICC boundary		classical closed-form claim the M92 MPL fixture cannot settle; both legs are enforced by tests/testthat/test-degenerate-classical.R (burch aborts classed at MSA exactly 0, searle's endpoints unchanged -- M105/D-022)
b39982b4c4cb	R/icc.R	out	Neither resamples, so		classical closed-form claim the M92 MPL fixture cannot settle; it states which arguments apply to "searle"/"burch", not an MPL interval property, and is enforced by tests/testthat/test-vignette-claims.R (`"npbootstrap"` alone takes a seed ...: searle and burch return identical endpoints at seed = 1 and seed = 99 -- M130)
e6dd36bdbe46	R/icc.R	out	it aborts on any other design		pre-M94 mpl design fence (D-015), settled by its abort tests
2cde0f315ee3	R/icc.R	out	only when the profile deviance shows the confidence set reaching it		M99 boundary-vs-failure contract (D-019): a boundary limit is evidence-based (sign test) and a genuine root-finding failure aborts classed; settled by the M99 tests in test-ci-mpl.R, not the M92 fixture
d445b858554b	R/icc.R	out	It is deliberately conservative		pre-M94 mpl claim from the M87/M90 assessment grid (D-014)
e428d688f11e	R/icc.R	out	never interpolated between levels	 	pre-M94 level fence (D-017/M90), settled by the conf_level abort tests
ed14557ba228	R/icc.R	out	carries no external oracle		pre-M94 calibration-provenance claim (D-014/D-017), recorded in cairn/references/mpl-twoway-random-comparison.md
9f6e5d2f5fb5	R/icc.R	out	65 of 66 misses below the interval in one validated cell		pre-M94 asymmetry figure from M91's D1 cell at 0.90 (data-raw/m91-interp-sweep.rds), documented by M91, out of M94 scope per plan
eb343e9b8c11	R/icc.R	out	coverage there is 1.000		pre-M94 near-vacuity caveat from M91's D3 cell at 0.99 (data-raw/m91-interp-sweep.rds), documented by M91
990cbf77d3d6	R/icc.R	out	is typically the only method that returns anything usable		M103 boundary-hint claim, not about the M92 cells: settled by tests/testthat/fixtures/abort-remedy-sweep.tsv, where on the four gen_ssa0 datasets reaching the npbootstrap observed-data guard bootstrap is usable 4/4 and searle, burch and montecarlo 0/4; re-derived by data-raw/check-abort-remedy-verdicts.R
db9cb8028a46	R/icc.R	out	as well as on the default		M103 boundary-hint claim, not about the M92 cells: the two mc_ci() guards and the four reducer-stage guards all build the hint through boundary_method_hint(), and mpl splices none, which is why the sentence names the four methods rather than all of them; settled by test-reducer-abort-hint.R's AC1 six-guard test and its AC9 default-path test
b542f07f81d3	R/icc.R	out	or, where no method serves that data, names none		M103 boundary-hint claim, not about the M92 cells: settled by test-reducer-abort-hint.R's AC5 pins, which fire the three guards gen_mse0 reaches through icc() and assert the rendered message is byte-identical to the one that shipped at 703fc1b
dbcf0e849b34	R/icc.R	out	It never names the method you asked for, which just failed		M103 boundary-hint claim, not about the M92 cells: settled by test-reducer-abort-hint.R's per-invoking-method AC3 test and by the self-exclusion isolation test that differs only in boundary_method_hint()'s invoked argument
3055aa5bc664	R/icc.R	out	screened at a small resample count and capped when run in full		M103 boundary-hint claim, not about the M92 cells: hint_screen_samples and hint_verify_boot_cap in R/boundary-hint.R, settled by test-reducer-abort-hint.R's AC8 latency test (each no-name abort under 5 s, measured 0.69-1.00 s against 25.6-27.2 s uncapped)
