# M74 generalizing-claim triage ledger (D-009 scope fence: source-table
# generalizations, re-derived not exit-coded). One row per candidate emitted by
# `python3 data-raw/enumerate-generalizing-claims.py`; the enumerator's --check
# gate asserts every current candidate appears here (enumeration completeness,
# AC1 — NOT a claim-truth check). Columns: key, citekey, disposition, reason,
# claim (first ~90 chars, for orientation only).
#
# Dispositions:
#   IN            source-table generalization the repo relies on -> recomputed in T2-T4;
#                 the reason records the full-table basis + result (confirmed/narrowed/corrected).
#   IN-done       already recomputed over its full table at M71; M74 re-derived and confirmed.
#   IN-consumer   a downstream restatement (INDEX) of an IN claim -> checked for consistency in T5.
#   OUT-*         not in scope, with the category reason. Categories: provenance (extraction/
#                 exhaustive-read), quote (verbatim/source-attributed), tabledata (transcribed cell/
#                 design row), design (grid/replications/structure), single (one cited cell/worked
#                 example/band convention), figure (plot-read, no table), prose (meta/definitional),
#                 oracle-pin (ORACLES.md repo-fixture claim, test-enforced), citation (BIBLIOGRAPHY),
#                 repo-analysis (repo synthesis note, validated at its own milestone),
#                 repostate (M73/D-009 dated observation), nonloadbearing (scope Out).
key	citekey	disposition	reason	claim
BIBLIOGRAPHY:085704a38c	BIBLIOGRAPHY	OUT-citation	BIBLIOGRAPHY.md bibliographic detail or cited band convention; not a source-table generalization	2026-07-19, M72. See `xiao2009` below for the second citekey-vs-issue-year case.) (`ICC(2)
BIBLIOGRAPHY:18b03a3129	BIBLIOGRAPHY	OUT-citation	BIBLIOGRAPHY.md bibliographic detail or cited band convention; not a source-table generalization	doi:10.1007/s42081-025-00292-3. (Independent published coverage/width comparison
BIBLIOGRAPHY:226e1f0dc5	BIBLIOGRAPHY	OUT-citation	BIBLIOGRAPHY.md bibliographic detail or cited band convention; not a source-table generalization	Extraction: **verified 2026-07-19 (M72)**, at a depth set by provenance (D-008). The two d
BIBLIOGRAPHY:5e9d763d2c	BIBLIOGRAPHY	OUT-citation	BIBLIOGRAPHY.md bibliographic detail or cited band convention; not a source-table generalization	23 August 2016, © 2016 — and prints none of them, so the citekey's `2017` is
BIBLIOGRAPHY:6ba8d005df	BIBLIOGRAPHY	OUT-citation	BIBLIOGRAPHY.md bibliographic detail or cited band convention; not a source-table generalization	doi:10.1080/03610910903324834. (**Citekey-vs-issue-year case, found 2026-07-19,
BIBLIOGRAPHY:763d9c3f29	BIBLIOGRAPHY	OUT-citation	BIBLIOGRAPHY.md bibliographic detail or cited band convention; not a source-table generalization	for IRR — per-cell coverage on `ICC(A,1)` under 83–99 % missingness. Supersedes
BIBLIOGRAPHY:7fd74bd4e8	BIBLIOGRAPHY	OUT-citation	BIBLIOGRAPHY.md bibliographic detail or cited band convention; not a source-table generalization	Assessment, 6*(4), 284–290. doi:10.1037/1040-3590.6.4.284. (Interpretation-band
BIBLIOGRAPHY:a01af0bc59	BIBLIOGRAPHY	OUT-citation	BIBLIOGRAPHY.md bibliographic detail or cited band convention; not a source-table generalization	poor, 0.40–0.59 fair, 0.60–0.74 good, 0.75–1.00 excellent. Cited as one convention
BIBLIOGRAPHY:adedc0d749	BIBLIOGRAPHY	OUT-citation	BIBLIOGRAPHY.md bibliographic detail or cited band convention; not a source-table generalization	- Shieh, G. (2016). Choosing the best index for the average score intraclass
INDEX:2def1499ef	INDEX	IN-consumer	T5: restates vanderark2023 coverage range; check consistency	`[0.934, 0.956]` across 24 cells under 83–99 % missingness on `ICC(A,1)`.
